iter	Accuracy	Logloss
88	0.8340043713	0.3510966109
89	0.8340043713	0.3505506545
90	0.8344645117	0.3498073272
91	0.8352697573	0.3491145013
92	0.8351547222	0.3485246846
93	0.8357298976	0.3479384619
94	0.8371103186	0.3474439456
95	0.8371103186	0.3467243559
96	0.8374554239	0.3461654736
97	0.8376854941	0.3458128555
98	0.8388358449	0.3449772771
99	0.8390659151	0.3442353004
100	0.8394110204	0.3432621384
101	0.8395260554	0.342319796
102	0.8406764063	0.3418079367
103	0.8407914414	0.3406272802
104	0.8410215116	0.3402123702
105	0.8427470378	0.3394806212
106	0.8430921431	0.3386738728
107	0.8433222133	0.3379048712
108	0.844357529	0.3371521286
109	0.8445875992	0.3365923325
110	0.8437823536	0.3360272351
111	0.8440124238	0.3351068813
112	0.844357529	0.334620877
113	0.8437823536	0.334213556
114	0.844357529	0.3334579897
115	0.8447026343	0.3330336747
116	0.8451627746	0.3325738031
117	0.845622915	0.3316929011
118	0.8453928448	0.3313365809
119	0.8458529852	0.330449379
120	0.8465431957	0.3299773238
121	0.847003336	0.3292656273
122	0.8476935465	0.3285700884
123	0.8474634764	0.3279729635
124	0.848383757	0.3269927094
125	0.8484987921	0.3263892031
126	0.8489589325	0.3258615296
127	0.8491890026	0.325241553
128	0.8495341079	0.3247849724
129	0.8501092833	0.3242920206
130	0.8514897044	0.3235381821
131	0.8514897044	0.3228806285
132	0.8512596342	0.3225363127
133	0.8521799149	0.3218672869
134	0.8521799149	0.321306425
135	0.8518348096	0.3206426747
136	0.8528701254	0.3197664323
137	0.8534453008	0.3192521888
138	0.8541355113	0.3186169715
139	0.8545956517	0.3182145739
140	0.8547106868	0.3177361536
141	0.8545956517	0.3171376975
142	0.8549407569	0.3166266693
143	0.8552858622	0.3159448622
144	0.8554008973	0.3156166127
145	0.856436213	0.3151614021
146	0.8562061429	0.3147877422
147	0.856436213	0.3144015743
148	0.8567813183	0.3139235091
149	0.8572414586	0.3134405165
150	0.8572414586	0.3132003102
151	0.8579316692	0.3125279117
152	0.857701599	0.3119039868
153	0.8582767744	0.311363088
154	0.8596571954	0.3103755536
155	0.8602323709	0.3096346673
156	0.8616127919	0.3091010267
157	0.8613827217	0.3086603593
158	0.861727827	0.3082379587
159	0.8613827217	0.3074352541
160	0.8613827217	0.3069487315
161	0.8620729322	0.3060762582
162	0.8625330726	0.305287719
163	0.8633383182	0.3049439142
164	0.8632232831	0.3047594799
165	0.8634533533	0.3042202299
166	0.864373634	0.3034794584
167	0.8646037041	0.3028998642
168	0.8649488094	0.3025596091
169	0.8649488094	0.3021691435
170	0.8656390199	0.301524735
171	0.8658690901	0.3010409436
172	0.8651788796	0.3006939126
173	0.8650638445	0.3002604865
174	0.8654089497	0.2998845007
175	0.8658690901	0.299408774
176	0.8660991602	0.2990457247
177	0.8664442655	0.2985749641
178	0.8670194409	0.2981130293
179	0.8679397216	0.2976303532
180	0.8679397216	0.2972135641
181	0.8687449672	0.2966932025
182	0.8692051076	0.2963540378
183	0.8694351777	0.2959379748
184	0.8693201426	0.2956208867
185	0.8693201426	0.295260897
186	0.8694351777	0.2949006635
187	0.8693201426	0.2944948848
188	0.8703554584	0.2942198661
189	0.869780283	0.293651997
190	0.8702404233	0.2932030247
191	0.8704704935	0.2927464559
192	0.8705855286	0.2923843522
193	0.871160704	0.2918283492
194	0.8713907742	0.2914182902
195	0.8712757391	0.2910339285
196	0.871160704	0.2906515665
197	0.871160704	0.29025284
198	0.8717358794	0.2898923547
199	0.8712757391	0.2895834725
